productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extPower,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCost,extPitchValue,extDefenseValue,extIntellect,extLife
616349,Hunt the Hunter (Red),Hunt the Hunter Red,https://tcgplayer-cdn.tcgplayer.com/product/616349_200w.jpg,62,24176,https://cpt.tcgcsv.com/_xX6,2025-02-13T15:21:54.81,1,Promo,GEM014,Action,Attack,,Draconic,5,1.32,3.08,22.99,1.6,,Rainbow Foil,1,1,3,,
616349,Hunt the Hunter (Red),Hunt the Hunter Red,https://tcgplayer-cdn.tcgplayer.com/product/616349_200w.jpg,62,24176,https://cpt.tcgcsv.com/_xX6,2025-02-13T15:21:54.81,1,Promo,GEM014,Action,Attack,,Draconic,5,1.09,1.99,9.94,0.98,,Normal,1,1,3,,
616350,Hunt to the Ends of Rathe (Red),Hunt to the Ends of Rathe Red,https://tcgplayer-cdn.tcgplayer.com/product/616350_200w.jpg,62,24176,https://cpt.tcgcsv.com/0zX6,2025-02-13T15:22:04.377,1,Promo,GEM015,Action,Attack,,Draconic,2,3.0,4.48,7.55,2.67,,Normal,0,1,2,,
616350,Hunt to the Ends of Rathe (Red),Hunt to the Ends of Rathe Red,https://tcgplayer-cdn.tcgplayer.com/product/616350_200w.jpg,62,24176,https://cpt.tcgcsv.com/0zX6,2025-02-13T15:22:04.377,1,Promo,GEM015,Action,Attack,,Draconic,2,8.98,9.68,14.99,5.98,,Rainbow Foil,0,1,2,,
616351,March of Loyalty (Red),March of Loyalty Red,https://tcgplayer-cdn.tcgplayer.com/product/616351_200w.jpg,62,24176,https://cpt.tcgcsv.com/2zX6,2025-02-13T15:22:14.81,1,Promo,GEM016,Action,Attack,,Draconic,4,0.39,0.92,4.5,0.85,,Normal,0,1,3,,
616351,March of Loyalty (Red),March of Loyalty Red,https://tcgplayer-cdn.tcgplayer.com/product/616351_200w.jpg,62,24176,https://cpt.tcgcsv.com/2zX6,2025-02-13T15:22:14.81,1,Promo,GEM016,Action,Attack,,Draconic,4,2.82,4.16,5.24,1.31,,Rainbow Foil,0,1,3,,
616352,Smoke Out (Red),Smoke Out Red,https://tcgplayer-cdn.tcgplayer.com/product/616352_200w.jpg,62,24176,https://cpt.tcgcsv.com/3zX6,2025-02-13T15:22:35.433,1,Promo,GEM017,Defense Reaction,,,Draconic,,0.4,1.99,7.3,0.81,,Rainbow Foil,0,1,3,,
616352,Smoke Out (Red),Smoke Out Red,https://tcgplayer-cdn.tcgplayer.com/product/616352_200w.jpg,62,24176,https://cpt.tcgcsv.com/3zX6,2025-02-13T15:22:35.433,1,Promo,GEM017,Defense Reaction,,,Draconic,,0.19,0.5,15.0,0.31,,Normal,0,1,3,,
616353,Rake Over the Coals (Red),Rake Over the Coals Red,https://tcgplayer-cdn.tcgplayer.com/product/616353_200w.jpg,62,24176,https://cpt.tcgcsv.com/5zX6,2025-02-13T15:23:33.817,1,Promo,GEM019,Instant,,,Draconic,,1.37,2.23,4.99,1.97,,Normal,0,1,,,
616353,Rake Over the Coals (Red),Rake Over the Coals Red,https://tcgplayer-cdn.tcgplayer.com/product/616353_200w.jpg,62,24176,https://cpt.tcgcsv.com/5zX6,2025-02-13T15:23:33.817,1,Promo,GEM019,Instant,,,Draconic,,2.82,3.1,9.99,3.38,,Rainbow Foil,0,1,,,
616354,Tooth of the Dragon (Red),Tooth of the Dragon Red,https://tcgplayer-cdn.tcgplayer.com/product/616354_200w.jpg,62,24176,https://cpt.tcgcsv.com/6zX6,2025-02-13T15:23:53.61,1,Promo,GEM020,Instant,,,Draconic,,0.87,2.0,9.0,0.87,,Rainbow Foil,0,1,,,
616354,Tooth of the Dragon (Red),Tooth of the Dragon Red,https://tcgplayer-cdn.tcgplayer.com/product/616354_200w.jpg,62,24176,https://cpt.tcgcsv.com/6zX6,2025-02-13T15:23:53.61,1,Promo,GEM020,Instant,,,Draconic,,0.05,0.74,12.99,0.49,,Normal,0,1,,,
616355,Mark of the Funnel Web (Red),Mark of the Funnel Web Red,https://tcgplayer-cdn.tcgplayer.com/product/616355_200w.jpg,62,24176,https://cpt.tcgcsv.com/7zX6,2025-02-13T15:24:24.763,1,Promo,GEM022,Action,Attack,Assassin,,3,0.5,0.75,5.74,0.65,,Normal,0,1,3,,
616355,Mark of the Funnel Web (Red),Mark of the Funnel Web Red,https://tcgplayer-cdn.tcgplayer.com/product/616355_200w.jpg,62,24176,https://cpt.tcgcsv.com/7zX6,2025-02-13T15:24:24.763,1,Promo,GEM022,Action,Attack,Assassin,,3,0.85,1.83,6.41,1.83,,Rainbow Foil,0,1,3,,
616356,Mark the Prey (Red),Mark the Prey Red,https://tcgplayer-cdn.tcgplayer.com/product/616356_200w.jpg,62,24176,https://cpt.tcgcsv.com/8zX6,2025-02-13T15:24:35.087,1,Promo,GEM023,Action,Attack,Assassin,,3,0.1,0.5,18.95,0.3,,Normal,0,1,3,,
616356,Mark the Prey (Red),Mark the Prey Red,https://tcgplayer-cdn.tcgplayer.com/product/616356_200w.jpg,62,24176,https://cpt.tcgcsv.com/8zX6,2025-02-13T15:24:35.087,1,Promo,GEM023,Action,Attack,Assassin,,3,0.01,0.75,15.0,0.53,,Rainbow Foil,0,1,3,,
616357,Plunge the Prospect (Red),Plunge the Prospect Red,https://tcgplayer-cdn.tcgplayer.com/product/616357_200w.jpg,62,24176,https://cpt.tcgcsv.com/9zX6,2025-02-13T15:24:45.577,1,Promo,GEM024,Action,Attack,Assassin,,3,0.01,0.49,2.99,0.26,,Normal,0,1,3,,
616357,Plunge the Prospect (Red),Plunge the Prospect Red,https://tcgplayer-cdn.tcgplayer.com/product/616357_200w.jpg,62,24176,https://cpt.tcgcsv.com/9zX6,2025-02-13T15:24:45.577,1,Promo,GEM024,Action,Attack,Assassin,,3,0.2,0.55,501.5,0.41,,Rainbow Foil,0,1,3,,
616358,Scuttle the Canal (Red),Scuttle the Canal Red,https://tcgplayer-cdn.tcgplayer.com/product/616358_200w.jpg,62,24176,https://cpt.tcgcsv.com/bzX6,2025-02-13T15:24:56.17,1,Promo,GEM025,Action,Attack,Assassin,,3,0.4,1.0,210681.87,0.63,,Rainbow Foil,0,1,3,,
616358,Scuttle the Canal (Red),Scuttle the Canal Red,https://tcgplayer-cdn.tcgplayer.com/product/616358_200w.jpg,62,24176,https://cpt.tcgcsv.com/bzX6,2025-02-13T15:24:56.17,1,Promo,GEM025,Action,Attack,Assassin,,3,0.14,0.5,3.99,0.25,,Normal,0,1,3,,
616359,Whittle from Bone (Red),Whittle from Bone Red,https://tcgplayer-cdn.tcgplayer.com/product/616359_200w.jpg,62,24176,https://cpt.tcgcsv.com/czX6,2025-02-13T15:18:53.727,1,Promo,GEM026,Action,Attack,Assassin,,3,0.01,0.5,2.29,0.31,,Normal,0,1,3,,
616359,Whittle from Bone (Red),Whittle from Bone Red,https://tcgplayer-cdn.tcgplayer.com/product/616359_200w.jpg,62,24176,https://cpt.tcgcsv.com/czX6,2025-02-13T15:18:53.727,1,Promo,GEM026,Action,Attack,Assassin,,3,0.2,0.45,2.9,0.38,,Rainbow Foil,0,1,3,,
616360,Cut Through (Red),Cut Through Red,https://tcgplayer-cdn.tcgplayer.com/product/616360_200w.jpg,62,24176,https://cpt.tcgcsv.com/dzX6,2025-02-13T15:19:09.06,1,Promo,GEM027,Action,Attack,Ninja;Assassin,,3,1.75,4.0,12.99,3.0,,Rainbow Foil,0,1,2,,
616360,Cut Through (Red),Cut Through Red,https://tcgplayer-cdn.tcgplayer.com/product/616360_200w.jpg,62,24176,https://cpt.tcgcsv.com/dzX6,2025-02-13T15:19:09.06,1,Promo,GEM027,Action,Attack,Ninja;Assassin,,3,1.49,1.85,10.0,1.92,,Normal,0,1,2,,
616361,Pick Up the Point (Red),Pick Up the Point Red,https://tcgplayer-cdn.tcgplayer.com/product/616361_200w.jpg,62,24176,https://cpt.tcgcsv.com/fzX6,2025-02-13T15:19:19.003,1,Promo,GEM028,Action,Attack,Ninja;Assassin,,3,0.6,1.46,6.0,0.69,,Normal,0,1,2,,
616361,Pick Up the Point (Red),Pick Up the Point Red,https://tcgplayer-cdn.tcgplayer.com/product/616361_200w.jpg,62,24176,https://cpt.tcgcsv.com/fzX6,2025-02-13T15:19:19.003,1,Promo,GEM028,Action,Attack,Ninja;Assassin,,3,1.0,2.98,9.69,1.57,,Rainbow Foil,0,1,2,,
616362,Incision (Red),Incision Red,https://tcgplayer-cdn.tcgplayer.com/product/616362_200w.jpg,62,24176,https://cpt.tcgcsv.com/gzX6,2025-02-13T15:19:33.297,1,Promo,GEM029,Attack Reaction,,Warrior;Assassin,,,0.01,0.31,5.99,0.27,,Normal,0,1,3,,
616362,Incision (Red),Incision Red,https://tcgplayer-cdn.tcgplayer.com/product/616362_200w.jpg,62,24176,https://cpt.tcgcsv.com/gzX6,2025-02-13T15:19:33.297,1,Promo,GEM029,Attack Reaction,,Warrior;Assassin,,,0.25,0.87,4.99,0.64,,Rainbow Foil,0,1,3,,
616363,Scar Tissue (Red),Scar Tissue Red,https://tcgplayer-cdn.tcgplayer.com/product/616363_200w.jpg,62,24176,https://cpt.tcgcsv.com/hzX6,2025-02-13T15:19:58,1,Promo,GEM030,Attack Reaction,,Warrior;Assassin,,,1.75,2.92,7.99,2.32,,Normal,0,1,2,,
616363,Scar Tissue (Red),Scar Tissue Red,https://tcgplayer-cdn.tcgplayer.com/product/616363_200w.jpg,62,24176,https://cpt.tcgcsv.com/hzX6,2025-02-13T15:19:58,1,Promo,GEM030,Attack Reaction,,Warrior;Assassin,,,14.69,15.0,15.0,8.43,,Rainbow Foil,0,1,2,,
616364,Calming Breeze (Red),Calming Breeze Red,https://tcgplayer-cdn.tcgplayer.com/product/616364_200w.jpg,62,24176,https://cpt.tcgcsv.com/jzX6,2025-02-13T15:20:40.443,1,Promo,GEM031,Instant,,Generic,,,4.5,5.07,14.77,4.79,,Rainbow Foil,0,1,,,
616364,Calming Breeze (Red),Calming Breeze Red,https://tcgplayer-cdn.tcgplayer.com/product/616364_200w.jpg,62,24176,https://cpt.tcgcsv.com/jzX6,2025-02-13T15:20:40.443,1,Promo,GEM031,Instant,,Generic,,,6.99,7.0,7.0,5.09,,Normal,0,1,,,
616365,Razor Reflex (Red),Razor Reflex Red,https://tcgplayer-cdn.tcgplayer.com/product/616365_200w.jpg,62,24176,https://cpt.tcgcsv.com/kzX6,2025-02-13T15:21:06.827,1,Promo,GEM032,Attack Reaction,,Generic,,,7.48,13.0,69.69,15.98,,Normal,1,1,2,,
635856,"Kano, Draci of Aether // Taipanis Draca of Judement Double Sided Art Card (Top Right)",Kano Draci of Aether Taipanis Draca of Judement Double Sided Art Card Top Right,https://tcgplayer-cdn.tcgplayer.com/product/635856_200w.jpg,62,24176,https://cpt.tcgcsv.com/8m67,2025-06-04T15:12:26.13,0,None,,,,,,,4.4,4.4,4.4,2.5,,Normal,,,,,
635857,"Kano, Draci of Aether // Taipanis Draca of Judement Double Sided Art Card (Top Center)",Kano Draci of Aether Taipanis Draca of Judement Double Sided Art Card Top Center,https://tcgplayer-cdn.tcgplayer.com/product/635857_200w.jpg,62,24176,https://cpt.tcgcsv.com/9m67,2025-06-04T15:12:26.443,0,None,,,,,,,2.0,2.0,2.0,2.5,,Normal,,,,,
635858,"Kano, Draci of Aether // Taipanis Draca of Judement Double Sided Art Card (Top Left)",Kano Draci of Aether Taipanis Draca of Judement Double Sided Art Card Top Left,https://tcgplayer-cdn.tcgplayer.com/product/635858_200w.jpg,62,24176,https://cpt.tcgcsv.com/bm67,2025-06-04T15:12:26.667,0,None,,,,,,,4.4,4.4,4.4,2.5,,Normal,,,,,
635859,"Kano, Draci of Aether // Taipanis Draca of Judement Double Sided Art Card (Middle Right)",Kano Draci of Aether Taipanis Draca of Judement Double Sided Art Card Middle Right,https://tcgplayer-cdn.tcgplayer.com/product/635859_200w.jpg,62,24176,https://cpt.tcgcsv.com/cm67,2025-06-04T15:12:26.927,0,None,,,,,,,5.5,5.5,5.5,2.5,,Normal,,,,,
635860,"Kano, Draci of Aether // Taipanis Draca of Judement Double Sided Art Card (Middle Center)",Kano Draci of Aether Taipanis Draca of Judement Double Sided Art Card Middle Center,https://tcgplayer-cdn.tcgplayer.com/product/635860_200w.jpg,62,24176,https://cpt.tcgcsv.com/dm67,2025-06-04T15:12:27.05,0,None,,,,,,,5.5,5.5,5.5,2.5,,Normal,,,,,
635861,"Kano, Draci of Aether // Taipanis Draca of Judement Double Sided Art Card (Middle Left)",Kano Draci of Aether Taipanis Draca of Judement Double Sided Art Card Middle Left,https://tcgplayer-cdn.tcgplayer.com/product/635861_200w.jpg,62,24176,https://cpt.tcgcsv.com/fm67,2025-06-04T15:12:27.723,0,None,,,,,,,5.5,5.5,5.5,2.5,,Normal,,,,,
635862,"Kano, Draci of Aether // Taipanis Draca of Judement Double Sided Art Card (Bottom Right)",Kano Draci of Aether Taipanis Draca of Judement Double Sided Art Card Bottom Right,https://tcgplayer-cdn.tcgplayer.com/product/635862_200w.jpg,62,24176,https://cpt.tcgcsv.com/gm67,2025-06-04T15:12:27.907,0,None,,,,,,,2.5,2.5,2.75,2.5,,Normal,,,,,
635863,"Kano, Draci of Aether // Taipanis Draca of Judement Double Sided Art Card (Bottom Center)",Kano Draci of Aether Taipanis Draca of Judement Double Sided Art Card Bottom Center,https://tcgplayer-cdn.tcgplayer.com/product/635863_200w.jpg,62,24176,https://cpt.tcgcsv.com/hm67,2025-06-04T15:12:28.05,0,None,,,,,,,5.5,5.5,5.5,2.5,,Normal,,,,,
635864,"Kano, Draci of Aether // Taipanis Draca of Judement Double Sided Art Card (Bottom Left)",Kano Draci of Aether Taipanis Draca of Judement Double Sided Art Card Bottom Left,https://tcgplayer-cdn.tcgplayer.com/product/635864_200w.jpg,62,24176,https://cpt.tcgcsv.com/jm67,2025-06-04T15:12:28.157,0,None,,,,,,,2.25,2.25,2.25,2.5,,Normal,,,,,
635865,"Uzuri, Switch Blade // Emperor, Dracai of Aesir Double Sided Art Card (Top Right)",Uzuri Switch Blade Emperor Dracai of Aesir Double Sided Art Card Top Right,https://tcgplayer-cdn.tcgplayer.com/product/635865_200w.jpg,62,24176,https://cpt.tcgcsv.com/km67,2025-06-04T15:12:28.253,0,None,,,,,,,2.75,2.75,2.75,2.5,,Normal,,,,,
635866,"Uzuri, Switch Blade // Emperor, Dracai of Aesir Double Sided Art Card (Top Center)",Uzuri Switch Blade Emperor Dracai of Aesir Double Sided Art Card Top Center,https://tcgplayer-cdn.tcgplayer.com/product/635866_200w.jpg,62,24176,https://cpt.tcgcsv.com/lm67,2025-06-04T15:12:28.363,0,None,,,,,,,4.33,4.33,4.33,1.65,,Normal,,,,,
635867,"Uzuri, Switch Blade // Emperor, Dracai of Aesir Double Sided Art Card (Top Left)",Uzuri Switch Blade Emperor Dracai of Aesir Double Sided Art Card Top Left,https://tcgplayer-cdn.tcgplayer.com/product/635867_200w.jpg,62,24176,https://cpt.tcgcsv.com/mm67,2025-06-04T15:12:28.597,0,None,,,,,,,2.75,2.75,2.75,2.5,,Normal,,,,,
635868,"Uzuri, Switch Blade // Emperor, Dracai of Aesir Double Sided Art Card (Middle Right)",Uzuri Switch Blade Emperor Dracai of Aesir Double Sided Art Card Middle Right,https://tcgplayer-cdn.tcgplayer.com/product/635868_200w.jpg,62,24176,https://cpt.tcgcsv.com/nm67,2025-06-04T15:12:29.07,0,None,,,,,,,,,,,,,,,,,
635869,"Uzuri, Switch Blade // Emperor, Dracai of Aesir Double Sided Art Card (Middle Center)",Uzuri Switch Blade Emperor Dracai of Aesir Double Sided Art Card Middle Center,https://tcgplayer-cdn.tcgplayer.com/product/635869_200w.jpg,62,24176,https://cpt.tcgcsv.com/pm67,2025-06-04T15:12:29.273,0,None,,,,,,,,,,,,,,,,,
635870,"Uzuri, Switch Blade // Emperor, Dracai of Aesir Double Sided Art Card (Middle Left)",Uzuri Switch Blade Emperor Dracai of Aesir Double Sided Art Card Middle Left,https://tcgplayer-cdn.tcgplayer.com/product/635870_200w.jpg,62,24176,https://cpt.tcgcsv.com/qm67,2025-06-04T15:12:29.54,0,None,,,,,,,2.75,2.75,2.75,2.5,,Normal,,,,,
635871,"Uzuri, Switch Blade // Emperor, Dracai of Aesir Double Sided Art Card (Bottom Right)",Uzuri Switch Blade Emperor Dracai of Aesir Double Sided Art Card Bottom Right,https://tcgplayer-cdn.tcgplayer.com/product/635871_200w.jpg,62,24176,https://cpt.tcgcsv.com/rm67,2025-06-04T15:12:29.65,0,None,,,,,,,,,,,,,,,,,
635872,"Uzuri, Switch Blade // Emperor, Dracai of Aesir Double Sided Art Card (Bottom Center)",Uzuri Switch Blade Emperor Dracai of Aesir Double Sided Art Card Bottom Center,https://tcgplayer-cdn.tcgplayer.com/product/635872_200w.jpg,62,24176,https://cpt.tcgcsv.com/sm67,2025-06-04T15:12:29.757,0,None,,,,,,,2.75,2.75,2.75,2.5,,Normal,,,,,
635873,"Uzuri, Switch Blade // Emperor, Dracai of Aesir Double Sided Art Card (Bottom Left)",Uzuri Switch Blade Emperor Dracai of Aesir Double Sided Art Card Bottom Left,https://tcgplayer-cdn.tcgplayer.com/product/635873_200w.jpg,62,24176,https://cpt.tcgcsv.com/tm67,2025-06-04T15:12:29.873,0,None,,,,,,,5.76,5.76,5.76,3.7,,Normal,,,,,
