productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,extCardSubType,extPower,extDefenseValue,extCost,extPitchValue,extFlavorText
620635,Flittering Charge (Red),Flittering Charge Red,https://tcgplayer-cdn.tcgplayer.com/product/620635_200w.jpg,62,24162,https://cpt.tcgcsv.com/Kg-6,2025-03-14T04:10:23.363,1,0.1,0.15,0.75,,,Normal,Common,AST010,Action,,Lightning,,,Attack,4,2,0,1,
620636,Lightning Surge (Red),Lightning Surge Red,https://tcgplayer-cdn.tcgplayer.com/product/620636_200w.jpg,62,24162,https://cpt.tcgcsv.com/Lg-6,2025-03-14T04:10:23.363,1,0.1,0.2,0.75,0.15,,Normal,Common,AST011,Action,,Lightning,,,Attack,4,2,0,1,
620637,Photon Rush (Red),Photon Rush Red,https://tcgplayer-cdn.tcgplayer.com/product/620637_200w.jpg,62,24162,https://cpt.tcgcsv.com/Mg-6,2025-03-14T04:10:23.363,1,0.47,0.52,0.95,0.57,,Normal,Common,AST012,Action,Runeblade,Elemental,,,Attack,3,3,0,1,
620657,Skyzyk,Skyzyk,https://tcgplayer-cdn.tcgplayer.com/product/620657_200w.jpg,62,24162,https://cpt.tcgcsv.com/9h-6,2025-03-14T04:10:23.363,1,13.34,15.71,16.49,10.99,,Rainbow Foil,Rare,AST013,Action,,Lightning,,,Attack,3,3,0,1,
620657,Skyzyk,Skyzyk,https://tcgplayer-cdn.tcgplayer.com/product/620657_200w.jpg,62,24162,https://cpt.tcgcsv.com/9h-6,2025-03-14T04:10:23.363,1,12.22,12.22,12.22,6.9,,Normal,Rare,AST013,Action,,Lightning,,,Attack,3,3,0,1,
620659,Snatch (Red),Snatch Red,https://tcgplayer-cdn.tcgplayer.com/product/620659_200w.jpg,62,24162,https://cpt.tcgcsv.com/ch-6,2025-03-14T04:10:23.363,1,0.8,1.37,2.22,0.87,,Normal,Rare,AST014,Action,Generic,,,,Attack,4,2,0,1,
620660,Spark Spray (Red),Spark Spray Red,https://tcgplayer-cdn.tcgplayer.com/product/620660_200w.jpg,62,24162,https://cpt.tcgcsv.com/dh-6,2025-03-14T04:10:23.363,1,0.76,0.78,1.99,0.78,,Normal,Common,AST015,Action,,Lightning,,,Attack,4,2,0,1,
620670,Static Shock (Red),Static Shock Red,https://tcgplayer-cdn.tcgplayer.com/product/620670_200w.jpg,62,24162,https://cpt.tcgcsv.com/qh-6,2025-03-14T04:10:23.363,1,0.31,0.77,1.99,0.53,,Normal,Rare,AST016,Action,Runeblade,Elemental,,,Attack,4,3,0,1,
620672,Burn Up // Shock,Burn Up Shock,https://tcgplayer-cdn.tcgplayer.com/product/620672_200w.jpg,62,24162,https://cpt.tcgcsv.com/sh-6,2025-03-14T04:10:23.363,1,0.23,0.25,5.0,0.24,,Normal,Rare,AST017,Action;Instant,Runeblade,Light,,,,,3,0,1,
620675,Sizzle (Red),Sizzle Red,https://tcgplayer-cdn.tcgplayer.com/product/620675_200w.jpg,62,24162,https://cpt.tcgcsv.com/wh-6,2025-03-14T04:10:23.363,1,0.93,1.41,1.99,0.46,,Normal,Common,AST018,Action,,Lightning,,,,,2,0,1,
620678,Electromagnetic Somersault (Red),Electromagnetic Somersault Red,https://tcgplayer-cdn.tcgplayer.com/product/620678_200w.jpg,62,24162,https://cpt.tcgcsv.com/Bh-6,2025-03-14T04:10:23.363,1,0.99,251.25,576.72,0.62,,Normal,Rare,AST019,Instant,,Lightning,,,,,,0,1,
620679,Electrostatic Discharge (Red),Electrostatic Discharge Red,https://tcgplayer-cdn.tcgplayer.com/product/620679_200w.jpg,62,24162,https://cpt.tcgcsv.com/Ch-6,2025-03-14T04:10:23.363,1,0.11,0.2,22.0,0.13,,Normal,Common,AST020,Instant,,Lightning,,,,,,0,1,
620681,Lightning Press (Red),Lightning Press Red,https://tcgplayer-cdn.tcgplayer.com/product/620681_200w.jpg,62,24162,https://cpt.tcgcsv.com/Fh-6,2025-03-14T04:10:23.363,1,0.65,1.78,5.0,0.71,,Normal,Rare,AST021,Instant,,Lightning,,,,0,0,0,1,"<em>""Back in my day, folk used weapons made of metal."" - Lishu, Crimson Haze Vigilante</em>"
620682,Arc Lightning,Arc Lightning,https://tcgplayer-cdn.tcgplayer.com/product/620682_200w.jpg,62,24162,https://cpt.tcgcsv.com/Gh-6,2025-03-14T04:10:23.363,1,0.58,2.49,4.99,0.66,,Normal,Majestic,AST022,Action,Runeblade,Lightning,,,,,2,0,2,
620686,Skyward Serenade,Skyward Serenade,https://tcgplayer-cdn.tcgplayer.com/product/620686_200w.jpg,62,24162,https://cpt.tcgcsv.com/Lh-6,2025-03-14T04:10:23.363,1,5.89,6.9,9.97,6.79,,Normal,Majestic,AST023,Action,Runeblade,Lightning,,,,,2,0,2,
620686,Skyward Serenade,Skyward Serenade,https://tcgplayer-cdn.tcgplayer.com/product/620686_200w.jpg,62,24162,https://cpt.tcgcsv.com/Lh-6,2025-03-14T04:10:23.363,1,8.46,10.9,14.99,9.48,,Rainbow Foil,Majestic,AST023,Action,Runeblade,Lightning,,,,,2,0,2,
620689,Arcanic Crackle (Blue),Arcanic Crackle Blue,https://tcgplayer-cdn.tcgplayer.com/product/620689_200w.jpg,62,24162,https://cpt.tcgcsv.com/Ph-6,2025-03-14T04:10:23.363,1,0.1,0.15,0.35,0.1,,Normal,Common,AST024,Action,Runeblade,Shadow,,,Attack,1,3,0,3,
620690,Heaven's Claws (Blue),Heavens Claws Blue,https://tcgplayer-cdn.tcgplayer.com/product/620690_200w.jpg,62,24162,https://cpt.tcgcsv.com/Qh-6,2025-03-14T04:10:23.363,1,0.25,0.28,0.75,0.25,,Normal,Common,AST025,Action,,Lightning,,,Attack,3,3,1,3,
620693,Captain's Call (Blue),Captains Call Blue,https://tcgplayer-cdn.tcgplayer.com/product/620693_200w.jpg,62,24162,https://cpt.tcgcsv.com/Th-6,2025-03-14T04:10:23.363,1,0.2,0.25,2.0,0.22,,Normal,Rare,AST026,Action,Generic,,,,,,2,0,3,
620704,Written in the Stars,Written in the Stars,https://tcgplayer-cdn.tcgplayer.com/product/620704_200w.jpg,62,24162,https://cpt.tcgcsv.com/6j-6,2025-03-14T04:10:23.363,1,2.75,3.89,9.99,3.62,,Rainbow Foil,Majestic,AST027,Action,Runeblade,Lightning,,,,,3,0,3,
620704,Written in the Stars,Written in the Stars,https://tcgplayer-cdn.tcgplayer.com/product/620704_200w.jpg,62,24162,https://cpt.tcgcsv.com/6j-6,2025-03-14T04:10:23.363,1,1.84,2.75,4.99,2.73,,Normal,Majestic,AST027,Action,Runeblade,Lightning,,,,,3,0,3,
620705,Embodiment of Lightning,Embodiment of Lightning,https://tcgplayer-cdn.tcgplayer.com/product/620705_200w.jpg,62,24162,https://cpt.tcgcsv.com/7j-6,2025-03-14T04:10:23.363,1,0.4,0.41,0.44,,,Normal,Token,AST028,Token,,Elemental,,,Aura,,,,,
